1:16846 16771 14760 11257 20202 193 22003 455
0:13467 15716 8419 15833 265 12922 4936 21130
0:1736 715 5550 7874 25031 15137 6198 193
0:21147 16694 6916 18440 20468 6705 5129 16408
0:17487 12541 19590 138 23608 1275 4754 25292
0:13776 16846 16771 14760 11257 17487 20202 193
0:15894 19633 1823 12922 16125 21076 16254 21747
0:13599 9495 25873 19590 2248 12025 1926 3704
0:17107 25225 24882 2674 13926 14754 3958 24431
0:5697 22119 20043 13129 23947 6226 3989 19092
0:17036 20064 19360 19111 97 15094 11296 21170
0:22889 22111 22516 25873 13776 17036 11503 24455
0:322 16793 21086 10568 11314 11953 25181 4839
0:16512 1888 14914 21086 3905 13879 23113 9981
0:18532 1012 16413 6181 10950 3476 21637 15453
0:2943 12025 20043 7874 6226 15137 3084 17487
0:16793 17487 4839 3958 10942 24456 18541 25217
0:903 23058 10324 7444 24142 15069 138 8325
0:17487 8865 9571 2671 23242 5982 5273 4936
0:9222 3704 24431 5788 10627 6774 5331 10117
0:8865 11175 8601 5550 19092 24456 12552 16694
0:3476 18532 16413 19659 13599 16793 19633 3866
0:4196 12007 24456 19633 4754 17819 19959 2248
0:7732 903 851 11257 8865 20238 17699 8217
0:8820 5440 5649 16175 25555 22119 1423 22522
0:10324 4754 16793 5982 138 21508 3958 11936
0:2571 17036 12219 17188 18328 5440 7120 2531
0:17036 16694 2581 10779 25424 16413 7584 8865
0:22889 5513 16175 25555 6205 8257 15069 18184
0:19865 15615 865 3690 6071 24870 17674 24592
0:715 25181 16694 400 16793 2571 15407 25854
0:17036 16694 7584 8865 10779 22388 16719 9547
0:23055 24398 2638 17487 20694 18583 16351 15542
0:17487 22695 8257 21710 22027 17275 15542 24427
0:8865 24427 24882 10627 21073 3704 3958 22695
0:13599 2571 1926 8257 12025 10669 15829 3281
0:13465 715 5550 23242 24553 25103 13992 85
0:2316 24377 16793 16175 25555 15053 10296 24427
0:11882 16175 25555 19092 19111 20307 15069 12552
0:715 13599 1274 16694 6705 7874 5891 6774
0:11008 7584 18033 12025 9664 22388 12112 23337
0:23419 13599 18541 22388 16175 25555 21710 10143
0:2571 18328 11314 13599 27 21710 17216 15407
1:3907 3131 19590 400 2571 10011 22119 3084
0:3882 19633 1823 17924 16125 12922 14669 1121
1:19671 22388 23337 13467 715 18033 13465 4080
0:17674 6071 18541 20043 9601 24592 2571 12025
0:15069 24882 2762 23419 15094 2571 21827 13331
0:14331 17487 903 5982 10324 5788 5582 7444
0:21086 22854 2121 3898 18328 22022 15094 4394
0:11022 14681 16413 21086 1888 23507 7732 23608
0:138 7444 2872 10324 17239 15069 24142 15791
1:715 5550 16694 7874 6705 16583 7421 8648
